Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
detik2,Firefox 123.0,,,06-03-2024 16:55:59,06-03-2024 16:56:44,45.013s,PASSED
,,,,,,,
Test Cases/detik,Firefox 123.0,,,06-03-2024 16:55:59,06-03-2024 16:56:44,44.795s,PASSED
"openBrowser("""")",Firefox 123.0,,,06-03-2024 16:55:59,06-03-2024 16:56:02,3.334s,PASSED
"navigateToUrl(""detik.com"")",Firefox 123.0,,,06-03-2024 16:56:02,06-03-2024 16:56:08,5.785s,PASSED
"click(findTestObject(""Object Repository/WebIndocyber/Page_Home  Indocyber/a_Our Journey""))",Firefox 123.0,,,06-03-2024 16:56:08,06-03-2024 16:56:43,34.297s,PASSED
closeBrowser(),Firefox 123.0,,,06-03-2024 16:56:43,06-03-2024 16:56:44,1.103s,PASSED
